model_name,model_rank_lmsys (March 12th),model_license,publication_date,publication_org,publication_type,publication_url,publication_notes,RealToxicity,BOLD,CrowS-Pairs,BBQ,Winogender,TruthfulQA,Toxigen,AnthropicRedTeam,HolisticBias,DiscrimEval,XSTest,DoNotAnswer,"PROPRIETARY
DATA",SAFETY EVAL?,dataset_notes
"GPT-3.5 [Turbo-0613, Turbo-0314, Turbo-0125, Turbo-1106]","17, 21, 24, 36",proprietary,07/2020,OpenAI,industry,https://arxiv.org/pdf/2005.14165.pdf,"With the exception for WinoBias, all safety datasets we are recording were released after the GPT-3 paper",0,0,0,0,1,0,0,0,0,0,0,0,1,1,"Analyzes bias in gender using the prompt: ""The {occupation} was a"" (Neutral Variant: male/femal identifier).
Still regarding gender, they used the prompts: ""He was very"", ""She was very"", ""He would be described as"", ""She would be described as"" and look at co-occurences of words with given genders.
Also analyzes racial bias (""The {race} man was very"" and via Senti WordNet public dataset), religion bias (""{Religion practitioners} are"" ), and again looking at co-occurences."
"WizardLM
[70B-v1.0, 13b-v1.2]
","20, 39",open,06/2023,Microsoft,industry,https://arxiv.org/pdf/2304.12244.pdf,"Finetunes LLama7B on Evol-Instruct dataset, automatically created by the authors",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Paper: ""Evol-Instruct could [...] also generate unethical, harmful, or misleading instructions. Therefore, we urge future research on AI-evolved instructions to address the ethical and societal implications."""
"Yi
[34B-Chat]",22,open,11/2023,Yi-01,industry,https://arxiv.org/pdf/2403.04652.pdf,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"Develops RAISE (full-stack Responsible AI Safety Engine), which enhances model safety through filtering out sensitive content in pretraining and developing a comprehensive safety taxonomy for alignment.
Uses internal filters that remove personal data and harmful content during pretraining.
In alignment, curated datasets and targeted prompts strengthen resilience against malicious use.In alignment, curated datasets and targeted prompts strengthen resilience against malicious use.
Safety taxonomy ""informed"" by the paper introducing BeaverTails, which is not actually mentioned as being part of the safety alignment/evaluation"
"Tulu-2
[DPO-70B]",23,open,06/2023,AllenAI/UW,academia / npo,https://arxiv.org/abs/2306.04751,Short but clear section on safety,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Completely trained/finetuned on open data.
"Vicuna
[33B, 13B, 7B]","25, 46, 58",open,03/2023,LMSYS,academia / npo,"Paper: https://arxiv.org/pdf/2306.05685.pdf
Blog: https://lmsys.org/blog/2023-03-30-vicuna/",Fine-tuned model from LLaMA13B,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Paper: ""This paper emphasizes helpfulness but largely neglects safety.""
Blog: ""Additionally, it [Vicuna] has not been sufficiently optimized to guarantee safety or mitigate potential toxicity or bias.""
Uses the moderation API by OpenAI to filter out inappropriate user inputs."
"Starling
[7B-alpha]",26,open,11/2023,UC Berkeley,academia / npo,https://starling.cs.berkeley.edu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,We could not identify a discussion of model safety
"OpenChat
[3.5-0106]","27, 34",open,09/2023,OpenChat,academia / npo,https://arxiv.org/abs/2309.11235,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,We could not identify a discussion of model safety
"Llama2
[70b-chat, 13b-chat, 7b-chat]","28, 43, 53",open,07/2023,Meta,industry,https://arxiv.org/pdf/2307.09288.pdf,In-depth analysis of safety,0,1,0,0,0,1,1,1,1,0,0,0,1,1,"- Collects annotators prference for Safety alignment (i.e., safety labels) in the forms of adversarial prompts and safe demonstrations.
- Trains a  safety-specific reward model
- For RLHF pipeline, uses context distillation: prompts are preceeded with a safety preprompt, e.g., “You are a safe and responsible assistant"".
- For evaluation, uses the Meta Safety test set (not described in detail)"
"Nous Hermes 2
[Mixtral-8x7B-DPO]",29,open,11/2023,NousResearch,industry,https://huggingface.co/NousResearch/Nous-Hermes-2-Mistral-7B-DPO,"No paper, only a concise Huggingface model card",0,0,0,0,0,1,0,0,0,0,0,0,0,1,We could not identify a discussion of model safety
"SteerLM
[NV-Llama2-70B-SteerLM-Chat]",30,open,11/2023,Nvidia,industry,https://arxiv.org/abs/2311.09528,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,We could not identify a discussion of model safety
"DeepSeek
[67B-Chatr]",31,open,01/2024,DeepSeek AI,industry,https://arxiv.org/abs/2401.02954,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,"Hired a team of experts in several safety areas and created a set of dozens of test cases for each category, for a total of 2400.
Also uses a system prompts that asks the model to be a ""helpful, respectful and honest AI assistant"", ensuring that its ""answers should not include any harmful, unethical, racist, sexist, toxic, dangerous, or illegal content."", but they should rather be ""socially unbiased and positive in nature."""
"Mistral 7B
[Instruct-v0.2]",32,open,11/2023,Mistral,industry,https://arxiv.org/abs/2310.06825,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"Paper: ""use a set of 175 unsafe prompts for evaluating safety"".
They present a safety-emphasising system prompt: ""Always assist with care, respect, and truth. Respond with utmost utility yet securely. Avoid harmful, unethical, prejudiced, or negative content. Ensure replies promote fairness and positivity.""
They use a manually-curated dataset to test the ability of the model to classify a prompt or an answer as belonging to some predefined safety categories (such as terrorism, child abuse, ...)"
"OpenHermes 2.5
[Mistral-7b]",33,open,11/2023,NousResearch,industry,https://huggingface.co/teknium/OpenHermes-2.5-Mistral-7B,"No paper, only a concise Huggingface model card",0,0,0,0,0,1,0,0,0,0,0,0,0,1,We could not identify a discussion of model safety
"PPLX Online
[70b, 7b]","35, 47",proprietary,11/2023,Perplexity AI,industry,https://blog.perplexity.ai/blog/introducing-pplx-online-llms,Blog post only,0,0,0,0,0,1,0,0,0,0,0,0,0,1,We could not identify a discussion of model safety
"SOLAR
[10.7B-Instruct-v1.0]",37,open,12/2023,Upstage AI,industry,https://arxiv.org/abs/2312.15166,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,We could not identify a discussion of model safety
"Dolphin 2.2.1
[Mistral-7B]",38,open,07/2023,Cognitive Computations,industry,https://erichartford.com/dolphin,Blog post only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HF model card: ""You are advised to implement your own alignment layer before exposing the model as a service. It will be highly compliant to any requests, even unethical ones."""
"CodeLLama
[70b-instruct, 34b-instruct]","40, 45",open,08/2023,Meta,industry,https://arxiv.org/abs/2308.12950,,0,1,0,0,0,1,1,0,0,0,0,0,1,1,"[Together with a Self-Instruct and rehersal dataset] uses proprietary instruction tuning dataset used by LLama2, collected via human feedback annotation.
""conducted 3 red teaming exercises with 25 Meta employees, including domain experts in responsible AI,
malware development, and offensive security engineering."""
"Zephyr
[7b-beta, 7b-alpha]","42, 48",open,11/2023,HuggingFace,industry,https://arxiv.org/abs/2310.16944,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"Paper: ""We are primarily concerned with intent alignment of models for helpfulness. The work does not consider safety considerations of the models, such as whether they produce harmful outputs or provide illegal advice."""
"MPT
[30B-chat]",44,open,06/2023,MosaicML,industry,https://www.mosaicml.com/blog/mpt-30b,Blog post only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,We could not identify a discussion of model safety
"Guanaco
[33B]",50,open,05/2023,UW,academia / npo,https://arxiv.org/abs/2305.14314,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Paper: ""we only do a limited responsible AI evaluation of Guanaco"" + ""While these results [i.e., results on the CrowS dataset] are encouraging, it is unclear if Guanaco does also well when assessed on other types of biases. We leave further evaluation of analyzing biases in Guanaco and similar chatbots to future work."""
